chrom	start	end	nogene_Shap
chr11	19554304	19556352	-16.57822608947754
chr11	19558400	19560448	-11.002002716064453
chr11	19734528	19736576	-16.54515266418457
chr11	19777536	19779584	-11.576963424682617
chr12	26880000	26882048	-13.263097763061523
chr12	26886144	26888192	-13.316635131835938
chr4	64538624	64540672	-12.633271217346191
chr4	64552960	64555008	-12.085970878601074
chr4	64583680	64585728	-13.905694961547852
chr4	64608256	64610304	-10.174466133117676
chr18	74373120	74375168	-10.34444808959961
chr18	74776576	74778624	-10.497591018676758
chr15	49061888	49063936	-10.697748184204102
chr1	94834688	94836736	-12.045930862426758
chr1	94844928	94846976	-16.63225746154785
chr1	94861312	94863360	-11.036151885986328
chr1	94863360	94865408	-11.305523872375488
chr1	94873600	94875648	-15.586385726928711
chr1	94883840	94885888	-10.132055282592773
chr1	94920704	94922752	-13.714582443237305
chr1	94935040	94937088	-11.801828384399414
chr1	94943232	94945280	-18.607219696044922
chr1	94945280	94947328	-15.279200553894043
chr1	94947328	94949376	-12.305901527404785
chr1	94980096	94982144	-12.529908180236816
chr1	94986240	94988288	-16.736892700195312
chr1	95010816	95012864	-12.162875175476074
chr1	95072256	95074304	-15.134063720703125
chr15	85325824	85327872	-11.923192024230957
chr15	85360640	85362688	-13.881502151489258
chr15	85487616	85489664	-10.398736000061035
chr15	85491712	85493760	-11.333721160888672
chr15	85526528	85528576	-15.79090690612793
chr15	85534720	85536768	-14.026830673217773
chr15	85538816	85540864	-10.053092956542969
chr15	85555200	85557248	-10.77347183227539
chr15	85557248	85559296	-12.130172729492188
chr15	85559296	85561344	-10.462835311889648
chr15	85575680	85577728	-13.376937866210938
chr15	85604352	85606400	-10.773858070373535
chr15	85606400	85608448	-14.7120943069458
chr15	85645312	85647360	-22.67947769165039
chr15	85659648	85661696	-18.851137161254883
chr15	85676032	85678080	-13.898097038269043
chr15	85729280	85731328	-27.9589900970459
chr15	85762048	85764096	-18.089298248291016
chr15	85800960	85803008	-21.735836029052734
chr15	85803008	85805056	-17.368837356567383
chr15	85833728	85835776	-14.03193473815918
chr15	85837824	85839872	-16.88947105407715
chr15	86013952	86016000	-10.267843246459961
chr12	29315072	29317120	-25.204790115356445
chr12	29333504	29335552	-16.629182815551758
chr10	101840896	101842944	-24.866117477416992
chr10	101918720	101920768	-12.378792762756348
chr10	102068224	102070272	-13.300537109375
chr10	102131712	102133760	-22.52010726928711
chr10	102166528	102168576	-19.227880477905273
chr10	102170624	102172672	-18.031291961669922
chr10	102348800	102350848	-18.162639617919922
chr10	102397952	102400000	-17.935405731201172
chr1	206610432	206612480	-12.373209953308105
chr1	206632960	206635008	-13.763484001159668
chr1	206725120	206727168	-10.189909934997559
chr1	206911488	206913536	-22.897747039794922
chr1	206979072	206981120	-12.529953002929688
chr1	206981120	206983168	-14.033760070800781
chr1	237756416	237758464	-11.327646255493164
chr7	100460544	100462592	-13.690402030944824
chr7	100585472	100587520	-14.406522750854492
chr7	100683776	100685824	-11.013383865356445
chr7	100702208	100704256	-11.67170524597168
chr7	100847616	100849664	-16.483173370361328
chr10	120412160	120414208	-11.685098648071289
chr10	120475648	120477696	-9.97123908996582
chr10	120479744	120481792	-11.122701644897461
chr10	120485888	120487936	-10.960546493530273
chr10	120487936	120489984	-10.012097358703613
chr10	120850432	120852480	-22.394939422607422
chr10	120852480	120854528	-46.03681182861328
chr10	120903680	120905728	-11.020482063293457
chr10	120942592	120944640	-30.83181381225586
chr10	52383744	52385792	-15.765466690063477
chr10	52443136	52445184	-14.621252059936523
chr10	52463616	52465664	-11.99902629852295
chr10	52502528	52504576	-14.70887279510498
chr10	52563968	52566016	-23.42973518371582
chr10	52566016	52568064	-24.98753547668457
chr10	52619264	52621312	-13.874113082885742
chr10	52643840	52645888	-20.925981521606445
chr10	52733952	52736000	-11.629837036132812
chr13	39364608	39366656	-13.756199836730957
chr11	14252032	14254080	-12.616347312927246
chr11	14260224	14262272	-13.218202590942383
chr11	14272512	14274560	-11.236235618591309
chr11	14274560	14276608	-10.965177536010742
chr11	14307328	14309376	-11.768800735473633
chr11	14311424	14313472	-15.192855834960938
chr11	14338048	14340096	-13.95862102508545
chr11	14379008	14381056	-13.855718612670898
chr11	14383104	14385152	-14.999549865722656
chr11	14411776	14413824	-18.926076889038086
chr11	14417920	14419968	-16.808080673217773
chr11	14422016	14424064	-13.033854484558105
chr11	14424064	14426112	-13.84068775177002
chr11	14450688	14452736	-15.800718307495117
chr11	14454784	14456832	-16.14655113220215
chr11	14483456	14485504	-12.107904434204102
chr11	14497792	14499840	-10.575958251953125
chr8	135602176	135604224	-12.646356582641602
chr8	135714816	135716864	-10.557371139526367
chr1	23691264	23693312	-16.966623306274414
chr1	23769088	23771136	-15.416679382324219
chr1	23771136	23773184	-15.19743537902832
chr22	44625920	44627968	-17.287809371948242
chr22	44664832	44666880	-13.445721626281738
chr22	44697600	44699648	-12.47573184967041
chr22	44699648	44701696	-26.27435874938965
chr22	44816384	44818432	-14.98619556427002
chr4	24788992	24791040	-16.204219818115234
chr4	25376768	25378816	-13.997865676879883
chr4	164780032	164782080	-10.484586715698242
chr4	165095424	165097472	-10.967110633850098
chr4	165097472	165099520	-18.8778018951416
chr4	165130240	165132288	-15.885473251342773
chr1	158832640	158834688	-11.196935653686523
chr1	158838784	158840832	-9.987710952758789
chr1	158846976	158849024	-10.027145385742188
chr1	158849024	158851072	-13.501073837280273
chr1	158998528	159000576	-11.665342330932617
chr1	159133696	159135744	-30.263839721679688
chr1	159160320	159162368	-19.417484283447266
chr1	159213568	159215616	-42.252384185791016
chr1	159508480	159510528	-12.785840034484863
chr4	17229824	17231872	-10.73724365234375
chr4	17244160	17246208	-14.287040710449219
chr4	17471488	17473536	-27.538650512695312
chr4	17473536	17475584	-14.390052795410156
chr4	17545216	17547264	-10.594473838806152
chr4	17549312	17551360	-20.92603874206543
chr1	15446016	15448064	-12.181599617004395
chr1	15448064	15450112	-14.873945236206055
chr1	15601664	15603712	-11.997379302978516
chr1	15613952	15616000	-10.855844497680664
chr1	15736832	15738880	-16.175954818725586
chr1	15759360	15761408	-22.260595321655273
chrX	118026240	118028288	-13.42201042175293
chrX	118040576	118042624	-10.29945182800293
chrX	118044672	118046720	-16.210073471069336
chrX	118104064	118106112	-12.18624496459961
chrX	118212608	118214656	-10.212127685546875
chrX	118214656	118216704	-11.181501388549805
chrX	118534144	118536192	-20.061237335205078
chrX	118657024	118659072	-10.566010475158691
chrX	118683648	118685696	-17.4374942779541
chrX	118704128	118706176	-10.713269233703613
chr4	134918144	134920192	-16.856510162353516
chr7	7952384	7954432	-23.730636596679688
chr7	7954432	7956480	-11.583991050720215
chr7	7962624	7964672	-10.219161987304688
chr7	7989248	7991296	-13.293340682983398
chr7	7995392	7997440	-11.053228378295898
chr7	8005632	8007680	-10.808300018310547
chr7	8073216	8075264	-13.911832809448242
chr7	8085504	8087552	-15.283439636230469
chr7	8214528	8216576	-25.451839447021484
chr7	8339456	8341504	-23.31378746032715
chr7	8527872	8529920	-11.124652862548828
chr7	8536064	8538112	-13.807673454284668
chr7	8560640	8562688	-12.306658744812012
chr7	8624128	8626176	-12.385543823242188
chr7	8722432	8724480	-13.47270393371582
chr7	8785920	8787968	-10.914899826049805
chrX	110190592	110192640	-16.185535430908203
chrX	110192640	110194688	-12.946632385253906
chrX	110204928	110206976	-30.01882553100586
chrX	110206976	110209024	-28.569580078125
chrX	110209024	110211072	-12.41811752319336
chrX	110219264	110221312	-11.10474967956543
chrX	110225408	110227456	-17.41839027404785
chrX	110243840	110245888	-10.181843757629395
chrX	110268416	110270464	-18.408000946044922
chrX	110270464	110272512	-10.336578369140625
chrX	110292992	110295040	-10.566640853881836
chrX	110329856	110331904	-10.962173461914062
chrX	110360576	110362624	-11.336427688598633
chrX	111007744	111009792	-13.646133422851562
chrX	111022080	111024128	-11.034492492675781
chrX	111097856	111099904	-13.59172248840332
chr2	198295552	198297600	-40.139251708984375
chr2	198311936	198313984	-16.764049530029297
chr2	198653952	198656000	-10.938572883605957
chrX	137924608	137926656	-24.379436492919922
chrX	137926656	137928704	-12.346236228942871
chrX	137928704	137930752	-12.775562286376953
chrX	138024960	138027008	-13.521041870117188
chrX	138393600	138395648	-12.28465461730957
chrX	138463232	138465280	-12.154204368591309
chrX	138483712	138485760	-12.093717575073242
chrX	138489856	138491904	-11.211540222167969
chrX	138582016	138584064	-11.153303146362305
chrX	138659840	138661888	-10.887085914611816
chr7	113014784	113016832	-24.884319305419922
chr7	113508352	113510400	-11.718122482299805
chr7	77936640	77938688	-18.88705825805664
chr17	28682240	28684288	-13.806668281555176
chr17	28745728	28747776	-13.687009811401367
chr17	28913664	28915712	-10.71058177947998
chr17	28915712	28917760	-13.144460678100586
chr17	28964864	28966912	-12.708940505981445
chr17	29116416	29118464	-19.520753860473633
chr17	29476864	29478912	-10.066376686096191
chr1	179177472	179179520	-13.142663955688477
chr1	179202048	179204096	-10.324176788330078
chr1	179269632	179271680	-10.625314712524414
chr1	179294208	179296256	-19.72414207458496
chr1	179326976	179329024	-11.818906784057617
chr1	179814400	179816448	-34.55669403076172
chr1	179863552	179865600	-10.096733093261719
chr1	179867648	179869696	-15.263839721679688
chr1	179910656	179912704	-18.341434478759766
chr1	179924992	179927040	-14.681363105773926
chr1	179945472	179947520	-10.369282722473145
chr1	179949568	179951616	-12.598747253417969
chr1	179974144	179976192	-17.472492218017578
chr1	179976192	179978240	-23.41219139099121
chr1	179986432	179988480	-13.821481704711914
chr1	180021248	180023296	-14.549346923828125
chr1	180051968	180054016	-12.528069496154785
chr1	180101120	180103168	-13.008562088012695
chrX	41828352	41830400	-10.308631896972656
chrX	42414080	42416128	-17.83652114868164
chrX	42432512	42434560	-12.842869758605957
chrX	42483712	42485760	-10.999213218688965
chrX	42512384	42514432	-14.400598526000977
chrX	42514432	42516480	-12.952089309692383
chrX	42518528	42520576	-17.300125122070312
chrX	42520576	42522624	-12.079681396484375
chrX	42604544	42606592	-10.54599666595459
chrX	42627072	42629120	-10.7116060256958
chrX	42676224	42678272	-13.183146476745605
chr12	31483904	31485952	-11.07099437713623
chr3	66023424	66025472	-11.776248931884766
chr16	23463936	23465984	-16.28462791442871
chr16	23480320	23482368	-10.130168914794922
chr16	23525376	23527424	-21.731182098388672
chr16	23531520	23533568	-11.511353492736816
chr16	23535616	23537664	-15.696052551269531
chr16	23539712	23541760	-20.461454391479492
chr16	23549952	23552000	-13.247469902038574
chr16	23554048	23556096	-17.630233764648438
chr16	23558144	23560192	-51.823631286621094
chr16	23574528	23576576	-13.468353271484375
chr16	23601152	23603200	-11.617486953735352
chr16	23623680	23625728	-12.17800521850586
chr16	23676928	23678976	-17.61514663696289
chr16	23691264	23693312	-11.847450256347656
chr9	120436736	120438784	-19.652307510375977
chr9	120438784	120440832	-22.051124572753906
chr9	120440832	120442880	-18.772727966308594
chr9	120578048	120580096	-28.931507110595703
chr9	120621056	120623104	-26.383670806884766
chr9	120680448	120682496	-12.217175483703613
chr9	120735744	120737792	-16.66535186767578
chr9	120754176	120756224	-13.393363952636719
chr9	120895488	120897536	-10.47787094116211
chr9	120958976	120961024	-10.945642471313477
chr9	120963072	120965120	-10.204894065856934
chr5	23414784	23416832	-12.581828117370605
chr6	131530752	131532800	-10.31734561920166
chr6	131627008	131629056	-19.780879974365234
chr6	131682304	131684352	-11.691702842712402
chr6	131694592	131696640	-37.11680221557617
chr6	131786752	131788800	-12.991743087768555
chr6	131921920	131923968	-10.702872276306152
chr6	131981312	131983360	-14.07751750946045
chr4	46843904	46845952	-15.286108016967773
chr4	46845952	46848000	-14.525350570678711
chr4	47384576	47386624	-10.040212631225586
chr4	47480832	47482880	-10.41690731048584
chr4	47493120	47495168	-17.953128814697266
chr4	47540224	47542272	-19.717958450317383
chr4	47542272	47544320	-18.628055572509766
chr4	47550464	47552512	-11.089690208435059
chr4	47566848	47568896	-15.151830673217773
chr4	47642624	47644672	-12.975519180297852
chr6	90216448	90218496	-13.669926643371582
chr6	90474496	90476544	-17.64598274230957
chr6	90476544	90478592	-17.84034538269043
chr6	90515456	90517504	-11.859670639038086
chr6	90517504	90519552	-21.88177490234375
chr6	90572800	90574848	-19.188533782958984
chr6	90576896	90578944	-12.929285049438477
chr6	91125760	91127808	-10.804727554321289
chr14	32073728	32075776	-14.82396125793457
chr14	32243712	32245760	-12.816263198852539
chr14	32251904	32253952	-12.83582592010498
chr14	32493568	32495616	-12.326618194580078
chr8	139757568	139759616	-10.52648639678955
chr8	140390400	140392448	-18.73423194885254
chr8	140423168	140425216	-11.980387687683105
chr8	140431360	140433408	-18.33394432067871
chr8	140457984	140460032	-9.982870101928711
chr8	140462080	140464128	-10.862558364868164
chr8	140466176	140468224	-12.739670753479004
chr8	140468224	140470272	-16.215410232543945
chr8	140509184	140511232	-12.427706718444824
chr8	140513280	140515328	-11.152231216430664
chr8	140535808	140537856	-10.213236808776855
chr8	140548096	140550144	-15.519996643066406
chr8	140554240	140556288	-11.871870040893555
chr8	140564480	140566528	-15.15361499786377
chr8	140570624	140572672	-10.195342063903809
chr8	140603392	140605440	-11.136167526245117
chr4	18501632	18503680	-10.291136741638184
chr4	18569216	18571264	-9.989383697509766
chr4	18800640	18802688	-13.781575202941895
chr4	18855936	18857984	-13.799893379211426
chr5	147402752	147404800	-16.423297882080078
chr5	147421184	147423232	-10.466268539428711
chr5	147425280	147427328	-26.1682186126709
chr5	147431424	147433472	-16.190425872802734
chr5	147435520	147437568	-17.929035186767578
chr5	147445760	147447808	-17.82472801208496
chr5	147456000	147458048	-11.832289695739746
chr5	147458048	147460096	-11.026493072509766
chr5	147464192	147466240	-19.85405731201172
chr5	147468288	147470336	-17.010337829589844
chr5	147480576	147482624	-20.943584442138672
chr5	147482624	147484672	-13.790921211242676
chr5	147484672	147486720	-12.054354667663574
chr5	147505152	147507200	-16.17389488220215
chr5	147527680	147529728	-15.753387451171875
chr5	147574784	147576832	-53.8218994140625
chr5	147744768	147746816	-9.974228858947754
chr5	148066304	148068352	-14.183233261108398
chr7	105140224	105142272	-26.0881290435791
chr7	105486336	105488384	-14.238492965698242
chr7	105519104	105521152	-17.498878479003906
chr7	105521152	105523200	-12.525434494018555
chr7	105531392	105533440	-18.049579620361328
chr7	105578496	105580544	-27.21087074279785
chr7	105656320	105658368	-26.444595336914062
chr10	62156800	62158848	-13.029561996459961
chr10	62277632	62279680	-11.030426025390625
chr10	62404608	62406656	-10.035161972045898
chr10	62595072	62597120	-11.375032424926758
chr10	62611456	62613504	-11.562041282653809
chr20	22687744	22689792	-14.737337112426758
chr20	23341056	23343104	-15.694986343383789
chr20	23357440	23359488	-22.410377502441406
chr20	23365632	23367680	-10.581117630004883
chr20	23390208	23392256	-13.466379165649414
chr20	23416832	23418880	-16.12173080444336
chr20	23418880	23420928	-17.757951736450195
chr20	23420928	23422976	-10.096723556518555
chr17	53962752	53964800	-10.446671485900879
chr17	54755328	54757376	-13.441218376159668
chr5	140144640	140146688	-13.839675903320312
chr5	140152832	140154880	-11.232146263122559
chr5	140345344	140347392	-11.115994453430176
chr5	140363776	140365824	-11.618032455444336
chr5	140371968	140374016	-13.932184219360352
chr5	140400640	140402688	-14.902360916137695
chr5	140460032	140462080	-16.81539535522461
chr5	140793856	140795904	-11.000812530517578
chr8	84445184	84447232	-11.284433364868164
chr8	84453376	84455424	-12.542757987976074
chr18	35143680	35145728	-25.300893783569336
chr18	35383296	35385344	-10.491650581359863
chr11	128020480	128022528	-20.030542373657227
chr11	128157696	128159744	-19.244312286376953
chr11	128169984	128172032	-15.054883003234863
chr11	128172032	128174080	-19.521528244018555
chr11	128358400	128360448	-12.315506935119629
chr11	128360448	128362496	-14.929725646972656
chr11	128362496	128364544	-14.844944953918457
chr11	128401408	128403456	-10.583287239074707
chr11	128456704	128458752	-14.534675598144531
chr11	114307072	114309120	-10.319193840026855
chr11	114350080	114352128	-23.53679847717285
chr11	114370560	114372608	-14.476095199584961
chr11	114372608	114374656	-22.707426071166992
chr11	114378752	114380800	-10.060168266296387
chr11	114380800	114382848	-10.176576614379883
chr11	114384896	114386944	-14.998817443847656
chr11	114411520	114413568	-17.453998565673828
chr11	115103744	115105792	-13.892120361328125
chr3	29077504	29079552	-11.261125564575195
chr19	38961152	38963200	-15.14178466796875
chr19	39010304	39012352	-11.321202278137207
chr19	39391232	39393280	-21.324979782104492
chr19	39397376	39399424	-12.052092552185059
chr4	46776320	46778368	-11.185215950012207
chr11	20645888	20647936	-10.349230766296387
chr3	21618688	21620736	-10.102106094360352
chr3	21622784	21624832	-13.238502502441406
chr3	21780480	21782528	-10.035161972045898
chr3	22122496	22124544	-11.534344673156738
chr3	22317056	22319104	-10.631658554077148
chr3	22372352	22374400	-10.150800704956055
chr7	123871232	123873280	-13.593034744262695
chr6	133568512	133570560	-31.80221939086914
chr6	133621760	133623808	-13.380470275878906
chr6	133640192	133642240	-19.21355438232422
chr6	133644288	133646336	-18.40513038635254
chr6	133677056	133679104	-18.94438362121582
chr6	133695488	133697536	-15.049673080444336
chr6	133703680	133705728	-10.443020820617676
chr6	133705728	133707776	-16.140079498291016
chr6	133726208	133728256	-12.420007705688477
chr6	133740544	133742592	-12.644635200500488
chr6	133761024	133763072	-17.607072830200195
chr6	133763072	133765120	-15.013427734375
chr6	133773312	133775360	-11.530784606933594
chr1	246489088	246491136	-23.185871124267578
chr1	246497280	246499328	-25.320955276489258
chr1	246528000	246530048	-10.323793411254883
chr1	246530048	246532096	-20.841312408447266
chr1	246550528	246552576	-12.964179992675781
chr1	246583296	246585344	-13.345876693725586
chr1	246620160	246622208	-11.128657341003418
chr1	246669312	246671360	-12.376344680786133
chr1	246687744	246689792	-17.714859008789062
chr1	246700032	246702080	-18.663402557373047
chr1	246702080	246704128	-10.392465591430664
chr1	246775808	246777856	-18.410837173461914
chr1	246790144	246792192	-18.13112449645996
chr1	246812672	246814720	-11.114477157592773
chr1	246886400	246888448	-12.144281387329102
chr1	247162880	247164928	-15.102689743041992
chrX	130017280	130019328	-11.394753456115723
chrX	130152448	130154496	-11.603479385375977
chrX	130154496	130156544	-16.404882431030273
chrX	130191360	130193408	-49.548736572265625
chrX	130193408	130195456	-20.029605865478516
chr2	98455552	98457600	-12.877218246459961
chr2	98512896	98514944	-10.718592643737793
chr2	98541568	98543616	-13.297208786010742
chr2	98605056	98607104	-15.376935005187988
chr2	98607104	98609152	-17.36562728881836
chr2	99155968	99158016	-12.341828346252441
chr5	90437632	90439680	-11.847467422485352
chr5	90439680	90441728	-14.521723747253418
chr5	90464256	90466304	-13.215815544128418
chr5	90472448	90474496	-16.286951065063477
chr5	90474496	90476544	-20.086458206176758
chr5	90478592	90480640	-10.772043228149414
chr18	8652800	8654848	-18.48198890686035
chr18	8654848	8656896	-10.569160461425781
chr18	8658944	8660992	-24.946359634399414
chr18	8847360	8849408	-12.27237606048584
chr18	8910848	8912896	-10.74791431427002
chrX	85108736	85110784	-12.202003479003906
chrX	85217280	85219328	-10.344587326049805
chrX	85221376	85223424	-10.770934104919434
chrX	85223424	85225472	-11.861492156982422
chrX	85243904	85245952	-11.402759552001953
chrX	85346304	85348352	-11.098663330078125
chrX	85372928	85374976	-12.517422676086426
chrX	85377024	85379072	-13.814725875854492
chrX	85385216	85387264	-15.057977676391602
chrX	85397504	85399552	-14.153228759765625
chrX	85458944	85460992	-13.342198371887207
chrX	85504000	85506048	-12.086156845092773
chrX	85508096	85510144	-12.456862449645996
chrX	85737472	85739520	-10.180124282836914
chrX	85979136	85981184	-14.512947082519531
chr11	97056768	97058816	-10.896597862243652
chr11	97294336	97296384	-11.54934310913086
chr11	97454080	97456128	-31.65485191345215
chr3	30691328	30693376	-13.934147834777832
chr3	30767104	30769152	-21.311962127685547
chr7	40048640	40050688	-12.18397045135498
chr7	40132608	40134656	-13.254877090454102
chr7	40200192	40202240	-11.460737228393555
chr7	40570880	40572928	-10.473323822021484
chr2	156334080	156336128	-11.954178810119629
chr2	156399616	156401664	-14.646573066711426
chr2	156409856	156411904	-14.027450561523438
chr2	156463104	156465152	-13.363542556762695
chr2	156473344	156475392	-12.489984512329102
chr2	156520448	156522496	-20.190631866455078
chr5	83486720	83488768	-13.020120620727539
chr5	83550208	83552256	-13.351400375366211
chr5	83560448	83562496	-25.68267250061035
chr5	83640320	83642368	-10.262608528137207
chr5	83709952	83712000	-14.459884643554688
chr5	83718144	83720192	-20.400596618652344
chr5	68044800	68046848	-12.498739242553711
chr5	68112384	68114432	-11.158834457397461
chr5	68358144	68360192	-24.405424118041992
chr12	98154496	98156544	-10.97303581237793
chrX	19683328	19685376	-18.818145751953125
chrX	19701760	19703808	-13.5535249710083
chrX	19775488	19777536	-15.307963371276855
chrX	20140032	20142080	-11.588878631591797
chrX	20158464	20160512	-23.141374588012695
chr5	179582976	179585024	-15.913714408874512
chr5	179595264	179597312	-12.310518264770508
chr5	179668992	179671040	-14.932703971862793
chr5	179695616	179697664	-13.213833808898926
chr5	179701760	179703808	-12.091718673706055
chr5	179791872	179793920	-15.057759284973145
chr5	179793920	179795968	-30.143945693969727
chr5	179830784	179832832	-10.437493324279785
chr5	179841024	179843072	-12.26884651184082
chr5	179873792	179875840	-11.653339385986328
chr5	179908608	179910656	-37.720703125
chr5	180078592	180080640	-9.997668266296387
chr4	87181312	87183360	-10.294054985046387
chr4	87353344	87355392	-21.762514114379883
chr4	87465984	87468032	-10.14773178100586
chr4	87506944	87508992	-12.551424026489258
chr6	51957760	51959808	-11.740483283996582
chr6	51968000	51970048	-12.684860229492188
chr6	52262912	52264960	-14.314396858215332
chr6	52416512	52418560	-35.79414749145508
chr6	52418560	52420608	-21.111408233642578
chr6	52426752	52428800	-22.546167373657227
chr6	52428800	52430848	-15.165176391601562
chr6	52455424	52457472	-20.21563720703125
chr6	52467712	52469760	-29.821487426757812
chr6	52510720	52512768	-10.251187324523926
chr6	52533248	52535296	-14.98579216003418
chr6	52535296	52537344	-16.39640235900879
chr6	52543488	52545536	-14.613027572631836
chr6	52547584	52549632	-12.12154769897461
chr6	52549632	52551680	-12.503817558288574
chr6	52559872	52561920	-10.260306358337402
chr6	52566016	52568064	-23.02732276916504
chr6	52594688	52596736	-11.831659317016602
chr6	52596736	52598784	-16.1200008392334
chr6	52602880	52604928	-14.117693901062012
chr6	52604928	52606976	-11.991168022155762
chr6	52633600	52635648	-10.236669540405273
chr1	71079936	71081984	-23.142425537109375
chr1	71094272	71096320	-13.289654731750488
chr5	93675520	93677568	-11.44886302947998
chr5	93906944	93908992	-19.962787628173828
chr5	93917184	93919232	-13.327969551086426
chr5	150661120	150663168	-12.569456100463867
chr5	151040000	151042048	-13.171812057495117
chr5	151113728	151115776	-39.90294647216797
chr5	151115776	151117824	-31.029388427734375
chr5	151126016	151128064	-10.76081371307373
chr5	151156736	151158784	-17.8621826171875
chr5	151162880	151164928	-16.4593563079834
chr5	151222272	151224320	-11.787336349487305
chr5	151617536	151619584	-10.351250648498535
chr4	75116544	75118592	-11.700967788696289
chr4	75161600	75163648	-10.615997314453125
chr4	75184128	75186176	-10.63085651397705
chr4	75186176	75188224	-13.384040832519531
chr4	75360256	75362304	-10.236656188964844
chr4	75489280	75491328	-17.841259002685547
chr4	75569152	75571200	-17.85099220275879
chr4	75573248	75575296	-19.272506713867188
chr4	75685888	75687936	-20.03744125366211
chr4	75692032	75694080	-13.77607250213623
chr4	75696128	75698176	-14.7591552734375
chr4	75708416	75710464	-12.817106246948242
chr4	75724800	75726848	-10.369836807250977
chr4	75747328	75749376	-17.62466812133789
chr4	75784192	75786240	-12.35997200012207
chr4	75843584	75845632	-13.013493537902832
chr4	75849728	75851776	-12.856898307800293
chrX	5388288	5390336	-10.527029037475586
chrX	5410816	5412864	-12.754979133605957
chrX	5629952	5632000	-21.7388973236084
chrX	5900288	5902336	-10.552755355834961
chrX	5982208	5984256	-10.749031066894531
chrX	6023168	6025216	-13.337301254272461
chrX	6025216	6027264	-13.066858291625977
chrX	6146048	6148096	-13.753811836242676
chrX	6160384	6162432	-11.767759323120117
chrX	6172672	6174720	-10.32756519317627
chr11	82960384	82962432	-12.177997589111328
chr11	82964480	82966528	-15.250198364257812
chr11	82974720	82976768	-11.868825912475586
chr11	82989056	82991104	-13.223625183105469
chr11	82991104	82993152	-11.692567825317383
chr11	82993152	82995200	-18.411590576171875
chr11	82997248	82999296	-17.357952117919922
chr11	83027968	83030016	-10.421625137329102
chr11	83032064	83034112	-24.63095474243164
chr11	83138560	83140608	-12.238683700561523
chr11	83154944	83156992	-12.636726379394531
chr11	83247104	83249152	-12.513973236083984
chr11	83249152	83251200	-28.65487289428711
chr11	83288064	83290112	-10.672966003417969
chr8	140529664	140531712	-10.085977554321289
chr8	140627968	140630016	-14.261077880859375
chr8	140630016	140632064	-12.2996244430542
chr8	140632064	140634112	-15.452229499816895
chr8	140636160	140638208	-14.624601364135742
chr8	140638208	140640256	-11.024809837341309
chr8	140666880	140668928	-17.625598907470703
chr8	140668928	140670976	-13.170356750488281
chr8	140697600	140699648	-10.955392837524414
chr8	140718080	140720128	-11.572854042053223
chr8	140726272	140728320	-10.612215995788574
chr8	140734464	140736512	-11.062739372253418
chr15	77021184	77023232	-19.218976974487305
chr15	77029376	77031424	-14.21338176727295
chr15	77123584	77125632	-12.640664100646973
chr1	220088320	220090368	-27.94022560119629
chr1	220090368	220092416	-16.05368995666504
chr1	220104704	220106752	-16.605304718017578
chr1	220246016	220248064	-9.970067977905273
