chrom	start	end	protein_coding_Shap
chrX	118138880	118140928	-171.81802368164062
chrX	118140928	118142976	-130.86007690429688
chrX	118145024	118147072	-162.22010803222656
chrX	118151168	118153216	-147.56008911132812
chrX	118157312	118159360	-179.5194091796875
chrX	118159360	118161408	-205.2866973876953
chrX	118161408	118163456	-146.1925811767578
chrX	118163456	118165504	-170.7653045654297
chrX	118175744	118177792	-128.191650390625
chrX	118185984	118188032	-134.15811157226562
chrX	118190080	118192128	-129.45138549804688
chrX	118192128	118194176	-200.25418090820312
chrX	118196224	118198272	-139.90052795410156
chrX	118204416	118206464	-167.54037475585938
chrX	118206464	118208512	-134.72714233398438
chrX	118208512	118210560	-156.5234832763672
chrX	118231040	118233088	-165.98825073242188
chr7	7952384	7954432	-140.3283233642578
chr7	7962624	7964672	-126.1595458984375
chr7	7964672	7966720	-131.35409545898438
chr7	8073216	8075264	-139.1583709716797
chr7	8214528	8216576	-129.3138885498047
chr7	8427520	8429568	-128.60955810546875
chr7	8454144	8456192	-145.79925537109375
chr7	8513536	8515584	-145.92623901367188
chr7	8564736	8566784	-147.61898803710938
chrX	110209024	110211072	-146.18299865722656
chrX	110219264	110221312	-130.375244140625
chrX	110241792	110243840	-142.58265686035156
chrX	110276608	110278656	-133.62242126464844
chrX	110282752	110284800	-156.97445678710938
chrX	110872576	110874624	-136.83102416992188
chrX	110882816	110884864	-135.3564453125
chrX	110909440	110911488	-273.0784912109375
chrX	110911488	110913536	-214.142822265625
chrX	110917632	110919680	-174.3089599609375
chrX	110923776	110925824	-125.55889892578125
chrX	110931968	110934016	-177.839111328125
chrX	110940160	110942208	-189.19036865234375
chrX	110942208	110944256	-185.36428833007812
chrX	110952448	110954496	-148.53067016601562
chrX	110954496	110956544	-196.3831024169922
chrX	110956544	110958592	-182.21807861328125
chrX	110958592	110960640	-178.47708129882812
chrX	110960640	110962688	-154.97898864746094
chrX	110968832	110970880	-151.0020294189453
chrX	110970880	110972928	-161.49514770507812
chrX	110972928	110974976	-175.22512817382812
chrX	110974976	110977024	-126.172119140625
chrX	110977024	110979072	-235.19552612304688
chrX	110979072	110981120	-235.9014434814453
chrX	110991360	110993408	-154.17068481445312
chrX	110993408	110995456	-207.8567657470703
chrX	110997504	110999552	-206.3155517578125
chrX	110999552	111001600	-267.0096740722656
chrX	111005696	111007744	-156.7894744873047
chrX	111007744	111009792	-194.03814697265625
chrX	111009792	111011840	-193.05653381347656
chrX	111013888	111015936	-162.2548370361328
chrX	111017984	111020032	-222.1011962890625
chrX	111022080	111024128	-178.8837127685547
chrX	111024128	111026176	-201.9871063232422
chrX	111028224	111030272	-188.3012237548828
chrX	111099904	111101952	-255.5789794921875
chrX	137854976	137857024	-382.24468994140625
chrX	137863168	137865216	-139.47268676757812
chrX	137922560	137924608	-157.92044067382812
chrX	137928704	137930752	-196.0432586669922
chrX	137930752	137932800	-188.8302001953125
chrX	137932800	137934848	-223.52523803710938
chrX	137936896	137938944	-204.03695678710938
chrX	137938944	137940992	-127.7419204711914
chrX	137957376	137959424	-126.1490707397461
chrX	137965568	137967616	-186.23171997070312
chrX	137973760	137975808	-158.67628479003906
chrX	137977856	137979904	-191.05419921875
chrX	137994240	137996288	-175.75985717773438
chrX	138022912	138024960	-261.0692138671875
chrX	138024960	138027008	-195.34591674804688
chrX	138031104	138033152	-152.71505737304688
chrX	138053632	138055680	-151.46780395507812
chrX	138061824	138063872	-140.84881591796875
chrX	138067968	138070016	-148.5115966796875
chrX	138084352	138086400	-126.61865234375
chrX	138090496	138092544	-141.69384765625
chrX	138092544	138094592	-177.76473999023438
chrX	138094592	138096640	-130.49493408203125
chrX	138110976	138113024	-164.65985107421875
chrX	138127360	138129408	-161.4462890625
chrX	138133504	138135552	-160.55584716796875
chrX	138135552	138137600	-176.1502227783203
chrX	138141696	138143744	-198.11410522460938
chrX	138143744	138145792	-142.2495880126953
chrX	138145792	138147840	-202.65243530273438
chrX	138147840	138149888	-152.49063110351562
chrX	138149888	138151936	-259.71826171875
chrX	138151936	138153984	-252.33084106445312
chrX	138153984	138156032	-267.48583984375
chrX	138156032	138158080	-159.71884155273438
chrX	138160128	138162176	-129.97862243652344
chrX	138164224	138166272	-205.8477325439453
chrX	138166272	138168320	-127.51998138427734
chrX	138174464	138176512	-185.11959838867188
chrX	138184704	138186752	-147.98922729492188
chrX	138186752	138188800	-154.76260375976562
chrX	138188800	138190848	-181.56344604492188
chrX	138194944	138196992	-182.27960205078125
chrX	138203136	138205184	-210.6423797607422
chrX	138213376	138215424	-192.96676635742188
chrX	138217472	138219520	-227.3153839111328
chrX	138221568	138223616	-204.9670867919922
chrX	138223616	138225664	-153.59194946289062
chrX	138240000	138242048	-226.71115112304688
chrX	138244096	138246144	-176.651123046875
chrX	138252288	138254336	-178.70742797851562
chrX	138264576	138266624	-248.10946655273438
chrX	138266624	138268672	-170.12786865234375
chrX	138268672	138270720	-220.981201171875
chrX	138272768	138274816	-285.51324462890625
chrX	138278912	138280960	-187.64942932128906
chrX	138280960	138283008	-135.97390747070312
chrX	138289152	138291200	-209.48666381835938
chrX	138293248	138295296	-146.58096313476562
chrX	138297344	138299392	-213.33029174804688
chrX	138299392	138301440	-188.89759826660156
chrX	138301440	138303488	-339.10736083984375
chrX	138303488	138305536	-192.95849609375
chrX	138311680	138313728	-223.064453125
chrX	138326016	138328064	-225.27713012695312
chrX	138330112	138332160	-167.23880004882812
chrX	138334208	138336256	-268.59423828125
chrX	138338304	138340352	-203.54368591308594
chrX	138340352	138342400	-129.01119995117188
chrX	138344448	138346496	-157.56808471679688
chrX	138346496	138348544	-176.54092407226562
chrX	138348544	138350592	-151.75888061523438
chrX	138352640	138354688	-224.7017059326172
chrX	138362880	138364928	-326.2990417480469
chrX	138364928	138366976	-126.64666748046875
chrX	138371072	138373120	-233.6241455078125
chrX	138373120	138375168	-245.0381317138672
chrX	138375168	138377216	-186.2216033935547
chrX	138379264	138381312	-218.7200469970703
chrX	138399744	138401792	-246.9531707763672
chrX	138401792	138403840	-238.55819702148438
chrX	138405888	138407936	-141.84671020507812
chrX	138409984	138412032	-142.39132690429688
chrX	138412032	138414080	-218.8876495361328
chrX	138414080	138416128	-184.32102966308594
chrX	138418176	138420224	-203.9704132080078
chrX	138430464	138432512	-193.1837615966797
chrX	138432512	138434560	-137.77911376953125
chrX	138442752	138444800	-130.09317016601562
chrX	138444800	138446848	-186.4326934814453
chrX	138446848	138448896	-188.46665954589844
chrX	138459136	138461184	-161.1002655029297
chrX	138461184	138463232	-142.77767944335938
chrX	138465280	138467328	-126.99991607666016
chrX	138467328	138469376	-200.70555114746094
chrX	138469376	138471424	-169.4921112060547
chrX	138471424	138473472	-161.60205078125
chrX	138483712	138485760	-156.05581665039062
chrX	138489856	138491904	-168.5876922607422
chrX	138496000	138498048	-170.8715057373047
chrX	138498048	138500096	-306.0904846191406
chrX	138508288	138510336	-199.00204467773438
chrX	138510336	138512384	-204.3338165283203
chrX	138516480	138518528	-287.65924072265625
chrX	138522624	138524672	-262.2359313964844
chrX	138524672	138526720	-195.83004760742188
chrX	138526720	138528768	-234.95849609375
chrX	138534912	138536960	-189.7758026123047
chrX	138536960	138539008	-167.2008819580078
chrX	138539008	138541056	-182.4979705810547
chrX	138545152	138547200	-204.5681610107422
chrX	138549248	138551296	-159.17282104492188
chrX	138565632	138567680	-219.0888671875
chrX	138569728	138571776	-136.06698608398438
chrX	138571776	138573824	-226.7464599609375
chrX	138573824	138575872	-315.9651794433594
chrX	138588160	138590208	-174.3542022705078
chrX	138594304	138596352	-276.18682861328125
chrX	138596352	138598400	-167.57977294921875
chrX	138602496	138604544	-151.100341796875
chrX	138604544	138606592	-188.17640686035156
chrX	138606592	138608640	-147.21383666992188
chrX	138610688	138612736	-242.93417358398438
chrX	138620928	138622976	-198.6610870361328
chrX	138622976	138625024	-235.9219512939453
chrX	138633216	138635264	-165.27810668945312
chrX	138659840	138661888	-291.31671142578125
chrX	138661888	138663936	-186.2441864013672
chrX	138668032	138670080	-257.60052490234375
chr7	113518592	113520640	-141.98011779785156
chr17	28661760	28663808	-235.50985717773438
chr1	179529728	179531776	-129.81105041503906
chr1	179881984	179884032	-211.49099731445312
chr1	179884032	179886080	-195.41749572753906
chrX	42172416	42174464	-182.38864135742188
chrX	42211328	42213376	-217.54635620117188
chrX	42233856	42235904	-137.17465209960938
chrX	42240000	42242048	-272.2545471191406
chrX	42244096	42246144	-199.03713989257812
chrX	42250240	42252288	-156.9989013671875
chrX	42258432	42260480	-240.8456268310547
chrX	42260480	42262528	-195.51071166992188
chrX	42262528	42264576	-180.12757873535156
chrX	42270720	42272768	-146.89419555664062
chrX	42276864	42278912	-149.54910278320312
chrX	42283008	42285056	-177.57688903808594
chrX	42291200	42293248	-195.59133911132812
chrX	42293248	42295296	-345.55316162109375
chrX	42297344	42299392	-209.2565155029297
chrX	42311680	42313728	-139.0859375
chrX	42313728	42315776	-215.6090087890625
chrX	42315776	42317824	-252.21652221679688
chrX	42317824	42319872	-263.66278076171875
chrX	42321920	42323968	-175.62054443359375
chrX	42323968	42326016	-142.8480987548828
chrX	42330112	42332160	-250.9078826904297
chrX	42332160	42334208	-180.2876434326172
chrX	42346496	42348544	-150.97866821289062
chrX	42348544	42350592	-154.1599578857422
chrX	42350592	42352640	-356.7447204589844
chrX	42352640	42354688	-308.7271423339844
chrX	42354688	42356736	-161.68968200683594
chrX	42356736	42358784	-126.99394226074219
chrX	42358784	42360832	-214.3047637939453
chrX	42362880	42364928	-138.55043029785156
chrX	42366976	42369024	-245.55105590820312
chrX	42379264	42381312	-209.4057159423828
chrX	42381312	42383360	-148.43905639648438
chrX	42387456	42389504	-145.60562133789062
chrX	42389504	42391552	-254.61160278320312
chrX	42391552	42393600	-209.17056274414062
chrX	42395648	42397696	-204.4983367919922
chrX	42399744	42401792	-135.96722412109375
chrX	42401792	42403840	-265.29949951171875
chrX	42403840	42405888	-250.35397338867188
chrX	42405888	42407936	-195.87210083007812
chrX	42407936	42409984	-151.32192993164062
chrX	42412032	42414080	-125.62303161621094
chrX	42418176	42420224	-125.45863342285156
chrX	42422272	42424320	-145.55953979492188
chrX	42424320	42426368	-137.38931274414062
chrX	42428416	42430464	-149.05545043945312
chrX	42432512	42434560	-331.0664367675781
chrX	42434560	42436608	-332.46697998046875
chrX	42436608	42438656	-129.98251342773438
chrX	42438656	42440704	-278.6245422363281
chrX	42440704	42442752	-198.68739318847656
chrX	42442752	42444800	-132.2674560546875
chrX	42444800	42446848	-255.2274932861328
chrX	42446848	42448896	-231.2517547607422
chrX	42448896	42450944	-132.69485473632812
chrX	42450944	42452992	-146.09776306152344
chrX	42455040	42457088	-163.26266479492188
chrX	42457088	42459136	-223.286376953125
chrX	42459136	42461184	-249.3091278076172
chrX	42461184	42463232	-283.66778564453125
chrX	42463232	42465280	-226.3498992919922
chrX	42465280	42467328	-160.84921264648438
chrX	42467328	42469376	-171.09498596191406
chrX	42469376	42471424	-193.75804138183594
chrX	42473472	42475520	-245.5684814453125
chrX	42477568	42479616	-125.46927642822266
chrX	42479616	42481664	-337.9173278808594
chrX	42485760	42487808	-201.5623321533203
chrX	42487808	42489856	-280.58941650390625
chrX	42491904	42493952	-152.59896850585938
chrX	42502144	42504192	-142.23057556152344
chrX	42504192	42506240	-141.02000427246094
chrX	42506240	42508288	-193.45294189453125
chrX	42510336	42512384	-183.3656463623047
chrX	42514432	42516480	-137.11305236816406
chrX	42516480	42518528	-134.96316528320312
chrX	42520576	42522624	-149.62802124023438
chrX	42522624	42524672	-176.11668395996094
chrX	42532864	42534912	-170.58737182617188
chrX	42534912	42536960	-146.81517028808594
chrX	42536960	42539008	-138.7115478515625
chrX	42543104	42545152	-248.2444305419922
chrX	42545152	42547200	-265.1000671386719
chrX	42547200	42549248	-180.0145263671875
chrX	42551296	42553344	-200.56893920898438
chrX	42553344	42555392	-205.18057250976562
chrX	42559488	42561536	-174.49151611328125
chrX	42561536	42563584	-161.9199676513672
chrX	42569728	42571776	-164.89572143554688
chrX	42579968	42582016	-173.9756317138672
chrX	42582016	42584064	-176.05494689941406
chrX	42584064	42586112	-205.3765869140625
chrX	42586112	42588160	-136.51699829101562
chrX	42588160	42590208	-164.6795196533203
chrX	42590208	42592256	-155.10411071777344
chrX	42592256	42594304	-131.9867706298828
chrX	42594304	42596352	-224.482666015625
chrX	42598400	42600448	-315.25250244140625
chrX	42600448	42602496	-152.39930725097656
chrX	42602496	42604544	-193.82449340820312
chrX	42604544	42606592	-128.86012268066406
chrX	42608640	42610688	-260.15185546875
chrX	42616832	42618880	-192.8206787109375
chrX	42620928	42622976	-143.0892791748047
chrX	42622976	42625024	-215.89266967773438
chrX	42625024	42627072	-172.85397338867188
chrX	42627072	42629120	-241.9469757080078
chrX	42629120	42631168	-223.6475830078125
chrX	42641408	42643456	-263.638671875
chrX	42643456	42645504	-271.06646728515625
chrX	42655744	42657792	-130.19906616210938
chrX	42657792	42659840	-144.5501708984375
chrX	42674176	42676224	-191.3536834716797
chrX	42678272	42680320	-203.7748260498047
chrX	42680320	42682368	-249.5462188720703
chrX	42682368	42684416	-201.76210021972656
chrX	42684416	42686464	-201.6829833984375
chr3	66220032	66222080	-157.78094482421875
chr3	66222080	66224128	-153.5541229248047
chr16	23525376	23527424	-143.5204620361328
chr16	23531520	23533568	-126.02561950683594
chr16	23597056	23599104	-203.55580139160156
chr16	23640064	23642112	-158.66592407226562
chr16	23676928	23678976	-278.2316589355469
chr5	22804480	22806528	-134.00808715820312
chr6	131624960	131627008	-166.21609497070312
chr6	131627008	131629056	-411.8599548339844
chr6	131629056	131631104	-224.9211883544922
chr6	131694592	131696640	-247.6815643310547
chr6	132147200	132149248	-129.44253540039062
chr4	47493120	47495168	-140.70098876953125
chr6	90580992	90583040	-176.58335876464844
chr6	90583040	90585088	-154.13438415527344
chr6	90767360	90769408	-176.49070739746094
chr6	91068416	91070464	-207.8531951904297
chr8	140464128	140466176	-124.93831634521484
chr5	147402752	147404800	-210.07296752929688
chr5	147468288	147470336	-135.0087432861328
chr5	147480576	147482624	-170.2808837890625
chr5	147482624	147484672	-187.17408752441406
chr5	147505152	147507200	-179.4265594482422
chr5	147507200	147509248	-127.33467864990234
chr5	147515392	147517440	-146.79469299316406
chr5	147527680	147529728	-174.9552459716797
chr5	147529728	147531776	-128.21803283691406
chr5	147574784	147576832	-211.1814422607422
chr5	147994624	147996672	-143.19024658203125
chr7	105519104	105521152	-131.70925903320312
chr20	23351296	23353344	-157.74298095703125
chr20	23355392	23357440	-161.08389282226562
chr20	23357440	23359488	-427.7642517089844
chr5	140646400	140648448	-207.12838745117188
chr8	83613696	83615744	-131.0350341796875
chr8	84127744	84129792	-142.09365844726562
chr18	34707456	34709504	-128.2811279296875
chr18	34709504	34711552	-140.45726013183594
chr11	114429952	114432000	-127.36285400390625
chr11	115046400	115048448	-147.9815216064453
chr19	39389184	39391232	-144.0359649658203
chr19	39391232	39393280	-139.82693481445312
chr19	39411712	39413760	-127.23161315917969
chr19	39432192	39434240	-139.81704711914062
chr19	39434240	39436288	-222.37289428710938
chr4	46542848	46544896	-144.85659790039062
chr11	21491712	21493760	-126.50167083740234
chr6	133644288	133646336	-206.2851104736328
chr6	133705728	133707776	-141.28668212890625
chr6	133726208	133728256	-147.88412475585938
chr2	98455552	98457600	-127.78309631347656
chr5	90408960	90411008	-247.3007049560547
chr5	90527744	90529792	-188.30484008789062
chr18	8652800	8654848	-226.96005249023438
chr18	8654848	8656896	-174.50723266601562
chrX	85194752	85196800	-186.79483032226562
chrX	85217280	85219328	-197.60166931152344
chrX	85223424	85225472	-176.290283203125
chrX	85227520	85229568	-252.61727905273438
chrX	85239808	85241856	-187.96539306640625
chrX	85241856	85243904	-232.7413330078125
chrX	85252096	85254144	-230.21389770507812
